home_team,away_team,home_goals,away_goals
Cruzeiro,Gremio,1,1
Criciuma,Corinthians,2,4
Cuiaba,Bahia,1,2
Vasco DA Gama,Atletico Goianiense,2,2
Flamengo,Internacional,3,2
Gremio,Sao Paulo,2,1
Atletico Paranaense,Fluminense,1,1
Vitoria,Fortaleza EC,2,0
RB Bragantino,Cruzeiro,1,1
Corinthians,Bahia,3,0
Vasco DA Gama,Atletico-MG,2,0
Sao Paulo,Juventude,1,2
Vitoria,Gremio,1,1
Criciuma,Flamengo,0,3
Internacional,Botafogo,0,1
Cruzeiro,Palmeiras,1,2
Atletico Goianiense,Fortaleza EC,3,1
Fluminense,Cuiaba,1,0
Atletico Paranaense,RB Bragantino,1,2
Bahia,Atletico Goianiense,2,0
Botafogo,Sao Paulo,2,1
Palmeiras,Fluminense,0,1
Flamengo,Vitoria,2,2
Gremio,Corinthians,0,3
Juventude,Cruzeiro,0,1
Fortaleza EC,Internacional,3,0
RB Bragantino,Criciuma,5,1
Atletico-MG,Atletico Paranaense,1,0
Cuiaba,Vasco DA Gama,1,2
